DUNSNumber,Type,Email,Domain,username,ValidationStatus,Active
123456789,primary,joseph12@gmail.com,gmail.com,joseph,valid,true
987654321,primary,william@yahoo.in,yahoo.in,william,valid,true
987654321,secondary,william@gmail.com,gmail.com,william,valid,true
223456789,primary,robertbrown@hotmail.com,hotmail.com,robertbrown,valid,true
987654322,primary,emilyjohnson@outlook.com,outlook.com,emilyjohnson,valid,true
987654322,secondary,emilyjohnson@gmail.com,gmail.com,emilyjohnson,valid,true
323456789,primary,michaelwilliams@yahoo.com,yahoo.com,michaelwilliams,valid,true
423456789,primary,jenniferjones@gmail.com,gmail.com,jenniferjones,valid,true
523456789,primary,williamdavis@hotmail.com,hotmail.com,williamdavis,valid,true
623456789,primary,elizabethmartinez@yahoo.com,yahoo.com,elizabethmartinez,valid,true
723456789,primary,davidthomas@gmail.com,gmail.com,davidthomas,valid,true
823456789,primary,susanjackson@yahoo.com,yahoo.com,susanjackson,valid,true
923456789,primary,richardwhite@outlook.com,outlook.com,richardwhite,valid,true
1023456789,primary,maryharris@gmail.com,gmail.com,maryharris,valid,true
1123456789,primary,thomasyoung@yahoo.com,yahoo.com,thomasyoung,valid,true
1123456789,secondary,thomasyoung@gmail.com,gmail.com,thomasyoung,valid,true
1223456789,primary,kumar@hotmail.com,hotmail.com,kumar,valid,true
1323456789,secondary,kumar@gmail.com,gmail.com,kumar,valid,true
1423456789,primary,danielhall@yahoo.com,yahoo.com,danielhall,valid,true
1423456789,secondary,arjun@gmail.com,gmail.com,arjun,valid,true
1523456789,primary,sarahlewis@outlook.com,outlook.com,sarahlewis,valid,true
1623456789,primary,kaushik@gmail.com,gmail.com,kaushik,valid,true
1723456789,primary,emilyrobinson@yahoo.com,yahoo.com,emilyrobinson,valid,true
1823456789,primary,ethanwalker@hotmail.com,hotmail.com,ethanwalker,valid,true
1823456789,secondary,ethanwalker@gmail.com,gmail.com,ethanwalker,valid,true
1923456789,primary,isabellerojas@yahoo.com,yahoo.com,isabellerojas,valid,true
1923456789,secondary,isabellerojas@gmail.com,gmail.com,isabellerojas,valid,true
2023456789,primary,sophiamorgan@outlook.com,outlook.com,sophiamorgan,valid,true
2023456789,secondary,sophiamorgan@gmail.com,gmail.com,sophiamorgan,valid,true
2123456789,primary,prakash@yahoo.com,yahoo.com,prakash,valid,true
2123456789,secondary,prakash@gmail.com,gmail.com,prakash,valid,true
2223456789,primary,oliviaross@hotmail.com,hotmail.com,oliviaross,valid,true
2223456789,secondary,oliviaross@gmail.com,gmail.com,oliviaross,valid,true
2323456789,primary,matthewedwards@yahoo.com,yahoo.com,matthewedwards,valid,true
2323456789,primary,ameliaevans@gmail.com,gmail.com,ameliaevans,valid,true
27,primary,alexandermorris@hotmail.com,hotmail.com,alexandermorris,valid,true
27,secondary,alexandermorris@gmail.com,gmail.com,alexandermorris,valid,true
28,primary,madisonmurphy@yahoo.com,yahoo.com,madisonmurphy,valid,true
28,secondary,madisonmurphy@gmail.com,gmail.com,madisonmurphy,valid,true
29,primary,jacksoncook@hotmail.com,hotmail.com,jacksoncook,valid,true
30,primary,emmahill@yahoo.com,yahoo.com,emmahill,valid,true
30,secondary,emmahill@gmail.com,gmail.com,emmahill,valid,true
